Date,AAPL,ACN,ADBE,ADI,ADP,ADSK,AKAM,AMAT,AMD,AMZN,AVGO,CDNS,CHKP,CRM,CSCO,CTSH,EBAY,EXPE,FFIV,FTNT,GOOGL,HPQ,IBM,INTC,INTU,KLAC,LRCX,MCHP,MPWR,MRVL,MSFT,MU,NFLX,NTAP,NVDA,ON,ORCL,PAYX,QCOM,SNPS,STX,SWKS,TER,TXN,TYL,VRSN,WDC,XRX
2025-06-18,196.35714721679688,304.8553161621094,378.0400085449219,228.74533081054688,305.1848449707031,295.19000244140625,78.69999694824219,172.34603881835938,126.79000091552734,212.52000427246094,250.24124145507812,296.8399963378906,218.4199981689453,259.0489196777344,65.05361938476562,78.78952026367188,77.2877197265625,162.15377807617188,286.4800109863281,100.81999969482422,173.16513061523438,23.939367294311523,281.30804443359375,21.489999771118164,752.434814453125,869.2681884765625,92.05821228027344,67.5517807006836,690.5535278320312,74.83914184570312,479.4518127441406,121.6292724609375,1222.2900390625,101.8106460571289,145.47178649902344,52.2599983215332,210.05833435058594,149.1883544921875,152.7606658935547,473.6199951171875,130.19607543945312,70.9575424194336,86.17330169677734,196.9266357421875,568.6699829101562,280.35113525390625,59.12117385864258,5.33869743347168
2025-06-20,200.7721405029297,283.9498596191406,376.9200134277344,227.45045471191406,304.677490234375,297.2099914550781,78.37999725341797,168.9757080078125,128.24000549316406,209.69000244140625,249.5624237060547,295.3999938964844,218.2100067138672,260.17694091796875,65.52789306640625,75.13578033447266,77.37744140625,164.5692138671875,287.1300048828125,99.8499984741211,166.4910888671875,23.87006378173828,279.0830993652344,21.079999923706055,758.724853515625,848.1541748046875,90.31166076660156,68.49524688720703,683.2420043945312,73.40127563476562,476.6164855957031,123.40648651123047,1231.4100341796875,101.75119018554688,143.84188842773438,52.81999969482422,204.38027954101562,147.9973907470703,150.46372985839844,470.5299987792969,129.8589324951172,71.46282196044922,86.2032699584961,196.7777099609375,569.77001953125,279.9223937988281,59.22106170654297,5.309037685394287
2025-06-23,201.27157592773438,293.5319519042969,380.1199951171875,230.07008361816406,308.63690185546875,300.95001220703125,79.27999877929688,171.46856689453125,129.5800018310547,208.47000122070312,253.33595275878906,293.55999755859375,223.3699951171875,262.9521179199219,66.57522583007812,76.38024139404297,76.61981201171875,165.5074462890625,295.0899963378906,103.1500015258789,165.04238891601562,23.67205238342285,287.2379455566406,21.190000534057617,760.1302490234375,854.4205322265625,91.42945861816406,68.1079330444336,689.9358520507812,70.6753158569336,485.2023620605469,121.88887023925781,1253.5400390625,103.31674194335938,144.161865234375,53.16999816894531,206.2430877685547,150.11135864257812,152.27342224121094,470.9800109863281,131.9611053466797,71.6807861328125,87.2721939086914,199.94480895996094,580.0700073242188,282.076171875,60.309791564941406,5.269491672515869
2025-06-24,200.07293701171875,299.2234802246094,382.3399963378906,234.05433654785156,309.7909240722656,304.19000244140625,80.05999755859375,179.66506958007812,138.42999267578125,212.77000427246094,263.31884765625,296.79998779296875,219.55999755859375,270.6986389160156,67.07913970947266,77.24638366699219,74.1176528930664,168.90103149414062,295.8999938964844,104.41999816894531,166.62098693847656,24.29578399658203,291.8169860839844,22.549999237060547,756.6215209960938,887.0994262695312,95.44153594970703,69.94519805908203,713.8030395507812,75.09876251220703,489.30560302734375,127.7097396850586,1279.1099853515625,105.15973663330078,147.8916473388672,54.209999084472656,214.44142150878906,151.10382080078125,154.82888793945312,478.9800109863281,135.1639404296875,72.74089050292969,90.29914855957031,204.33309936523438,588.6300048828125,284.2099914550781,61.997825622558594,5.348583698272705
2025-06-25,201.33151245117188,293.1339416503906,387.54998779296875,233.75550842285156,296.649169921875,302.3699951171875,79.52999877929688,182.54681396484375,143.39999389648438,211.99000549316406,264.19732666015625,297.5299987792969,218.92999267578125,267.2945556640625,67.37555694580078,76.63909149169922,74.28711700439453,165.4375762939453,294.4100036621094,103.69000244140625,170.52748107910156,24.2858829498291,289.1053161621094,22.200000762939453,755.4552001953125,891.519775390625,95.83076477050781,71.10713958740234,720.0189208984375,75.81769561767578,491.4620666503906,127.05077362060547,1275.25,104.21842956542969,154.30130004882812,53.7400016784668,209.90892028808594,136.90155029296875,155.04763793945312,487.2699890136719,138.10467529296875,73.58302307128906,90.10933685302734,203.90618896484375,581.239990234375,281.6274719238281,62.47726821899414,5.328810691833496
2025-06-26,200.7721405029297,294.6065673828125,384.95001220703125,236.36520385742188,301.4144287109375,304.92999267578125,79.5999984741211,182.9955291748047,143.67999267578125,217.1199951171875,269.7079162597656,303.69000244140625,218.8800048828125,270.26934814453125,68.12647247314453,77.24638366699219,73.44975280761719,166.485595703125,289.0899963378906,103.86000061035156,173.38491821289062,24.46409034729004,289.969482421875,22.5,770.4075927734375,900.9791870117188,96.6491470336914,70.29278564453125,732.3209838867188,79.85172271728516,496.6335754394531,125.80272674560547,1306.6700439453125,103.7923583984375,155.01126098632812,53.650001525878906,212.0008544921875,139.9484405517578,157.29486083984375,495.70001220703125,140.2479248046875,73.95951843261719,90.95848846435547,204.8295135498047,577.2000122070312,282.3952331542969,63.43614959716797,5.29915189743042
2025-06-27,200.85205078125,293.9896545410156,385.8299865722656,236.02655029296875,301.88201904296875,305.1300048828125,79.5999984741211,182.68641662597656,143.80999755859375,223.3000030517578,268.8893127441406,305.20001220703125,216.4499969482422,272.9447326660156,67.83006286621094,77.39572143554688,73.52950286865234,170.43812561035156,295.75,103.11000061035156,178.37046813964844,24.523494720458984,287.75445556640625,22.690000534057617,774.1058349609375,887.9375610351562,97.00843811035156,70.0047836303711,733.177734375,77.04588317871094,495.1260681152344,124.5646743774414,1323.1199951171875,104.75349426269531,157.74110412597656,52.93000030517578,209.4307861328125,142.85638427734375,157.6428680419922,502.6300048828125,140.99557495117188,74.1081314086914,90.25918579101562,205.593994140625,581.0999755859375,286.8523864746094,63.216407775878906,5.220059871673584
2025-06-30,204.93740844726562,297.402587890625,386.8800048828125,237.08236694335938,306.8064270019531,309.57000732421875,79.76000213623047,182.54681396484375,141.89999389648438,219.38999938964844,275.17852783203125,308.1499938964844,221.25,272.2159729003906,68.55133819580078,77.68444061279297,74.22731018066406,168.36204528808594,294.32000732421875,105.72000122070312,176.07252502441406,24.21657943725586,292.80035400390625,22.399999618530273,785.1307373046875,893.7947998046875,97.14816284179688,69.88561248779297,730.0931396484375,77.2855224609375,496.5936584472656,123.05703735351562,1339.1300048828125,105.5759048461914,157.98109436035156,52.40999984741211,217.78848266601562,144.3649444580078,158.35879516601562,512.6799926757812,143.87649536132812,73.8307113647461,89.82962036132812,206.13011169433594,592.8400268554688,287.9691467285156,63.91559600830078,5.234960079193115
2025-07-01,207.58441162109375,301.114013671875,392.1000061035156,239.69203186035156,308.5274963378906,311.6700134277344,79.61000061035156,183.23483276367188,136.11000061035156,220.4600067138672,264.28717041015625,309.4599914550781,221.0800018310547,271.4373474121094,68.27468872070312,80.08377075195312,75.8621826171875,173.71194458007812,295.9700012207031,102.43000030517578,175.682861328125,25.24622917175293,289.244384765625,22.850000381469727,777.1361083984375,896.8980712890625,96.61920928955078,71.18659210205078,745.6556396484375,76.12723541259766,491.242431640625,120.70072937011719,1293.5999755859375,105.71463012695312,153.29136657714844,53.599998474121094,218.11721801757812,146.3101806640625,158.4980010986328,521.780029296875,144.58425903320312,76.44630432128906,91.82760620117188,208.93980407714844,590.0499877929688,288.24835205078125,63.765769958496094,5.602499961853027
2025-07-02,212.1991729736328,300.7856750488281,378.4700012207031,244.18426513671875,303.4737243652344,310.3399963378906,79.45999908447266,189.4669647216797,138.52000427246094,219.9199981689453,269.4383544921875,310.95001220703125,219.38999938964844,268.7420349121094,67.7707748413086,79.89460754394531,75.54318237304688,170.68765258789062,296.1199951171875,102.20999908447266,178.48036193847656,25.59274673461914,285.7182312011719,21.8799991607666,771.2449340820312,919.0997314453125,98.6352310180664,72.65641021728516,763.0550537109375,74.14018249511719,490.2840270996094,121.54940032958984,1284.8599853515625,106.62621307373047,157.2411346435547,55.95000076293945,229.09478759765625,144.86119079589844,161.4014892578125,523.1099853515625,151.46258544921875,77.45686340332031,94.08534240722656,214.04290771484375,583.0800170898438,281.2086486816406,65.7035140991211,5.711768627166748
2025-07-03,213.30792236328125,303.2632751464844,379.30999755859375,244.71217346191406,307.602294921875,316.6600036621094,79.4800033569336,190.50401306152344,137.91000366210938,223.41000366210938,274.7093200683594,326.80999755859375,223.6300048828125,271.6769104003906,68.9536361694336,80.62137603759766,76.12137603759766,176.1473388671875,300.1300048828125,105.66000366210938,179.36956787109375,25.741254806518555,290.00921630859375,22.489999771118164,778.1629638671875,922.5722045898438,98.61526489257812,72.55709075927734,757.30517578125,75.06880187988281,498.02130126953125,122.0985336303711,1297.1800537109375,106.79547882080078,159.3310089111328,56.599998474121094,236.40655517578125,146.02236938476562,161.2921142578125,548.739990234375,148.97042846679688,78.03150177001953,92.96646118164062,214.46983337402344,590.0399780273438,285.4963073730469,66.00316619873047,5.662100791931152
2025-07-07,209.7119903564453,299.04437255859375,376.92999267578125,240.857421875,306.8064270019531,315.30999755859375,79.05999755859375,190.23477172851562,134.8000030517578,223.47000122070312,273.7110290527344,320.29998779296875,222.99000549316406,269.33099365234375,68.51628112792969,80.10367584228516,75.67278289794922,177.46485900878906,299.260009765625,106.6500015258789,176.63201904296875,25.08782196044922,290.505859375,22.0,781.1234741210938,910.63818359375,97.94658660888672,70.98796844482422,739.8658447265625,71.44418334960938,496.90313720703125,119.8449478149414,1289.6199951171875,105.04309844970703,158.2310791015625,54.61000061035156,231.3660125732422,144.5733642578125,157.19541931152344,536.52001953125,147.92373657226562,75.48527526855469,90.49893951416016,211.87857055664062,589.6900024414062,286.66290283203125,65.1441650390625,5.234960079193115
