x,y,corr,eg_p,adf_p,half_life,beta
ADI,MSFT,0.801698728591153,0.00014487049800564176,1.9382871384954964e-05,46.26533774680162,0.6575002655949271
INTU,MSFT,0.7380915491653345,6.290190788559452e-05,7.938180650572525e-06,46.98351455075486,0.868808415701524
